"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.375675834944723,0,0.200352344232065,0.194416263346702
"redMullet",0.26508129558836,0,0,0.137990625902201
"pouting ",0.48197530300413,0,0,0.200861121187866
"whiting",1.02845072678435,0,0,0.514001940686618
"poorCod",0,0,0,0
"cod",0.237330383895787,0,0.252445886493944,0.153936524289522
"dragonet",0,0,0,0
"sole",0.234081560707713,0,1.0536832117452,0.222605691295708
"plaice",0.425182589454939,0,0.443285593954661,0.242375435447589
"horseMackerel",0.106315440029047,0.0962699519793297,0,0.14182307508508
"mackerel",1.00884382446476,0.318036983858703,0,0.612754833999436
"herring",0,1.08976276099488,0,0.969278618144619
"sardine",0,0.392993946048774,0,0.461654716888233
"squids",0.45028045236073,0,0,0.192595636937972
"cuttlefish",0.291074837994842,0,0,0.142758970016783
"thornbackRay",0.116892145580823,0,0,0.0752527574699034
