"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.315166215334695,0,0.179019872838496,0.17287800345159
"redMullet",0.258419743067142,0,0,0.120353178679958
"pouting ",0.482327661406563,0,0,0.206169296282231
"whiting",0.942909114480798,0,0,0.563855230346181
"poorCod",0,0,0,0
"cod",0.205820389416546,0,0.263919775519682,0.1600345231266
"dragonet",0,0,0,0
"sole",0.2541038223875,0,1.06579547649055,0.207381493127577
"plaice",0.427749025789491,0,0.375069751435523,0.246838139764309
"horseMackerel",0.115507533764461,0.119281170454459,0,0.131142435929024
"mackerel",0.99882169575186,0.295450395106291,0,0.632579411362316
"herring",0,0.985092181986801,0,1.03025517403846
"sardine",0,0.448738354071701,0,0.437340132792056
"squids",0.452518685287448,0,0,0.22447863035386
"cuttlefish",0.345813590433097,0,0,0.147026456154422
"thornbackRay",0.115281829048514,0,0,0.0825934080919064
