"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.374980109402184,0,0.191883081882288,0.192813431080761
"redMullet",0.26457106192147,0,0,0.126007499659296
"pouting ",0.426791744013503,0,0,0.200874955229568
"whiting",0.999890188975895,0,0,0.561988713327868
"poorCod",0,0,0,0
"cod",0.207454619107132,0,0.265740871506254,0.148539409914001
"dragonet",0,0,0,0
"sole",0.222605931844099,0,1.00627419931386,0.216854088467798
"plaice",0.508771049022294,0,0.39107716035826,0.270198489071208
"horseMackerel",0.117785544793884,0.103262407081723,0,0.142701140803232
"mackerel",0.92379270838766,0.357200555737727,0,0.68386033043405
"herring",0,1.21535768538447,0,0.994468400240044
"sardine",0,0.372456813360741,0,0.393
"squids",0.447959738461366,0,0,0.199048418679451
"cuttlefish",0.280450932181964,0,0,0.15460744593174
"thornbackRay",0.110696482289952,0,0,0.0780995877260311
