"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.36819493006741,0,0.225226205279584,0.191448119771974
"redMullet",0.252667623871582,0,0,0.133509296705738
"pouting ",0.416344236832058,0,0,0.196966962040085
"whiting",1.09231972637113,0,0,0.534274085559342
"poorCod",0,0,0,0
"cod",0.253828884370987,0,0.243564408486904,0.159684565858968
"dragonet",0,0,0,0
"sole",0.230130849926547,0,1.16829876369247,0.234237391066094
"plaice",0.443925115836581,0,0.446210412852371,0.262397647299224
"horseMackerel",0.125443906441308,0.109194520969605,0,0.114522990136215
"mackerel",1.0415356553137,0.340054454145771,0,0.654262031849391
"herring",0,1.10544952183529,0,1.07423208410708
"sardine",0,0.393537909921848,0,0.393
"squids",0.442027859136444,0,0,0.184264984906456
"cuttlefish",0.279421556769987,0,0,0.143399069942452
"thornbackRay",0.104001625815818,0,0,0.0764734811379946
