"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.368866362357283,0,0.273204194308474,0.151563508241134
"redMullet",0.242213642210079,0,0,0.115700736928544
"pouting ",0.387034962951033,0,0,0.25131914274468
"whiting",0.939875303508088,0,0,0.434554433486932
"poorCod",0,0,0,0
"cod",0.205606653021157,0,0.218560787284215,0.147993575818744
"dragonet",0,0,0,0
"sole",0.175538232963083,0,1.16372264673031,0.278032032443618
"plaice",0.425860617711573,0,0.379332104750632,0.208381174582847
"horseMackerel",0.106132201359734,0.104751614527654,0,0.114745313850062
"mackerel",1.04739851532262,0.336870217080367,0,0.55513862069296
"herring",0,0.952377095518885,0,0.821873061970117
"sardine",0,0.384181066354584,0,0.545574930286774
"squids",0.502455585645054,0,0,0.235209499041692
"cuttlefish",0.342237360881372,0,0,0.118543979998793
"thornbackRay",0.0946741295395768,0,0,0.0835527138384132
