"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.364355547041635,0,0.207739516269253,0.193211825120903
"redMullet",0.251292397267958,0,0,0.11206668073125
"pouting ",0.39368566846475,0,0,0.200609587147596
"whiting",1.11415591658277,0,0,0.562273299139233
"poorCod",0,0,0,0
"cod",0.243501030552661,0,0.267950933025311,0.141207203300797
"dragonet",0,0,0,0
"sole",0.22551515685752,0,1.06991524652361,0.225676761584246
"plaice",0.470975786370722,0,0.421322341902967,0.229509771985999
"horseMackerel",0.101696483470041,0.102116462856552,0,0.124367213060714
"mackerel",1.06273354449619,0.318255786438733,0,0.612499123949453
"herring",0,1.04687971834345,0,0.942027469054875
"sardine",0,0.393450455505903,0,0.462912724860221
"squids",0.49283922087358,0,0,0.209073480837065
"cuttlefish",0.290357614678224,0,0,0.160658161517882
"thornbackRay",0.108437842002058,0,0,0.0893937328501964
