"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.398432155344759,0,0.209664451208739,0.176491938406194
"redMullet",0.255942416617131,0,0,0.129034924371655
"pouting ",0.420470461834413,0,0,0.195124828920434
"whiting",1.07415518496912,0,0,0.515089739446474
"poorCod",0,0,0,0
"cod",0.230457896727577,0,0.249569717023323,0.148263153114335
"dragonet",0,0,0,0
"sole",0.236034643414138,0,1.04797700765146,0.251308628731732
"plaice",0.462412640512578,0,0.387323242789394,0.262630819385735
"horseMackerel",0.11718523816976,0.103098224356993,0,0.132603913749888
"mackerel",1.00126671504475,0.368410666426202,0,0.613100412962494
"herring",0,1.09208016218428,0,0.979962740775314
"sardine",0,0.332269371533559,0,0.461554794515498
"squids",0.47037260625976,0,0,0.194988685984359
"cuttlefish",0.299859260987829,0,0,0.158120111697227
"thornbackRay",0.109740975996624,0,0,0.0837046992827893
