"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.375649500403238,0,0.210649717289147,0.176404779141639
"redMullet",0.270075986964103,0,0,0.132970128686966
"pouting ",0.417796418565582,0,0,0.200048303162684
"whiting",1.11003838886041,0,0,0.526707973281794
"poorCod",0,0,0,0
"cod",0.248394706112517,0,0.279856221321359,0.147761081586649
"dragonet",0,0,0,0
"sole",0.217685775242202,0,1.06681830003155,0.251531341390159
"plaice",0.426027997732169,0,0.3931947135397,0.229796989444234
"horseMackerel",0.109527875152744,0.108634302139985,0,0.127756090800691
"mackerel",1.0229318405511,0.305223154871809,0,0.622940518005682
"herring",0,1.18140702509518,0,0.993797893478936
"sardine",0,0.401761753240061,0,0.458005218201892
"squids",0.458371868925047,0,0,0.217385954622825
"cuttlefish",0.310449226922576,0,0,0.152906764251283
"thornbackRay",0.110903631004506,0,0,0.0755006289202646
