,mortality_by_dt
320,4.16667E-05
321,4.16667E-05
322,4.16667E-05
323,4.16667E-05
324,4.16667E-05
325,4.16667E-05
326,4.16667E-05
327,4.16667E-05
328,4.16667E-05
329,4.16667E-05
330,4.16667E-05
331,4.16667E-05
332,4.16667E-05
333,4.16667E-05
334,4.16667E-05
335,4.16667E-05
336,4.16667E-05
337,4.16667E-05
338,4.16667E-05
339,4.16667E-05
340,4.16667E-05
341,4.16667E-05
342,4.16667E-05
343,4.16667E-05
344,4.16667E-05
345,4.16667E-05
346,4.16667E-05
347,4.16667E-05
348,4.16667E-05
349,4.16667E-05
350,4.16667E-05
351,4.16667E-05
352,4.16667E-05
353,4.16667E-05
354,4.16667E-05
355,4.16667E-05
356,4.16667E-05
357,4.16667E-05
358,4.16667E-05
359,4.16667E-05
360,4.16667E-05
361,4.16667E-05
362,4.16667E-05
363,4.16667E-05
364,4.16667E-05
365,4.16667E-05
366,4.16667E-05
367,4.16667E-05
368,4.16667E-05
369,4.16667E-05
370,4.16667E-05
371,4.16667E-05
372,4.16667E-05
373,4.16667E-05
374,4.16667E-05
375,4.16667E-05
376,4.16667E-05
377,4.16667E-05
378,4.16667E-05
379,4.16667E-05
380,4.16667E-05
381,4.16667E-05
382,4.16667E-05
383,4.16667E-05
384,4.16667E-05
385,4.16667E-05
386,4.16667E-05
387,4.16667E-05
388,4.16667E-05
389,4.16667E-05
390,4.16667E-05
391,4.16667E-05
392,4.16667E-05
393,4.16667E-05
394,4.16667E-05
395,4.16667E-05
396,4.16667E-05
397,4.16667E-05
398,4.16667E-05
399,4.16667E-05
400,4.16667E-05
401,4.16667E-05
402,4.16667E-05
403,4.16667E-05
404,4.16667E-05
405,4.16667E-05
406,4.16667E-05
407,4.16667E-05
408,4.16667E-05
409,4.16667E-05
410,4.16667E-05
411,4.16667E-05
412,4.16667E-05
413,4.16667E-05
414,4.16667E-05
415,4.16667E-05
416,4.16667E-05
417,4.16667E-05
418,4.16667E-05
419,4.16667E-05
420,4.16667E-05
421,4.16667E-05
422,4.16667E-05
423,4.16667E-05
424,4.16667E-05
425,4.16667E-05
426,4.16667E-05
427,4.16667E-05
428,4.16667E-05
429,4.16667E-05
430,4.16667E-05
431,4.16667E-05
432,4.16667E-05
433,4.16667E-05
434,4.16667E-05
435,4.16667E-05
436,4.16667E-05
437,4.16667E-05
438,4.16667E-05
439,4.16667E-05
440,4.16667E-05
441,4.16667E-05
442,4.16667E-05
443,4.16667E-05
444,4.16667E-05
445,4.16667E-05
446,4.16667E-05
447,4.16667E-05
448,4.16667E-05
449,4.16667E-05
450,4.16667E-05
451,4.16667E-05
452,4.16667E-05
453,4.16667E-05
454,4.16667E-05
455,4.16667E-05
456,4.16667E-05
457,4.16667E-05
458,4.16667E-05
459,4.16667E-05
460,4.16667E-05
461,4.16667E-05
462,4.16667E-05
463,4.16667E-05
464,4.16667E-05
465,4.16667E-05
466,4.16667E-05
467,4.16667E-05
468,4.16667E-05
469,4.16667E-05
470,4.16667E-05
471,4.16667E-05
472,4.16667E-05
473,4.16667E-05
474,4.16667E-05
475,4.16667E-05
476,4.16667E-05
477,4.16667E-05
478,4.16667E-05
479,4.16667E-05
480,4.16667E-05
