"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.393528977861859,0,0.258779507924151,0.154933654361933
"redMullet",0.274658062359713,0,0,0.123850689888442
"pouting ",0.43187965204624,0,0,0.211753097000442
"whiting",0.934425651753961,0,0,0.464838176172047
"poorCod",0,0,0,0
"cod",0.226918252160029,0,0.212179121288114,0.1628314756815
"dragonet",0,0,0,0
"sole",0.151272781991209,0,1.20527765285211,0.278186103456334
"plaice",0.40768672472097,0,0.405352498555699,0.228425453559215
"horseMackerel",0.12375858177464,0.107977004133997,0,0.115242665621928
"mackerel",1.15398970451582,0.380947536729688,0,0.578012913627284
"herring",0,0.794611409226359,0,0.848282402836125
"sardine",0,0.424789680017638,0,0.582127565384835
"squids",0.413450692978192,0,0,0.212698954177184
"cuttlefish",0.294675899456325,0,0,0.107559033646964
"thornbackRay",0.0957239472766029,0,0,0.0964715345220702
