"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.380810767405124,0,0.230039745783652,0.168845952108905
"redMullet",0.276560569911827,0,0,0.132239752477154
"pouting ",0.533413944605548,0,0,0.256129476492424
"whiting",0.748349273589637,0,0,0.515373814632723
"poorCod",0,0,0,0
"cod",0.1872837905206,0,0.272714007817434,0.12237292056958
"dragonet",0,0,0,0
"sole",0.160933759684381,0,1.29658906850196,0.250343260599253
"plaice",0.400911949876265,0,0.346627720236559,0.241211720502883
"horseMackerel",0.0914105630328707,0.106326493896021,0,0.0949571972241578
"mackerel",0.786773569477473,0.340028526211982,0,0.574232431520361
"herring",0,0.929292161836627,0,0.877800998842142
"sardine",0,0.302631944274796,0,0.492426119912377
"squids",0.464499691477469,0,0,0.236711833658242
"cuttlefish",0.348261965050553,0,0,0.115537722828788
"thornbackRay",0.0819291600665385,0,0,0.0885333743275272
