"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.401018739118704,0,0.189552532276523,0.193886782045677
"redMullet",0.263236321525318,0,0,0.131187768339255
"pouting ",0.446352042407084,0,0,0.207261728177288
"whiting",0.999806464916493,0,0,0.486678283098064
"poorCod",0,0,0,0
"cod",0.231540659358374,0,0.248741797203668,0.146896753042636
"dragonet",0,0,0,0
"sole",0.22322320270704,0,1.1097890496316,0.249318547073914
"plaice",0.488127432499504,0,0.413933486356099,0.253179540630295
"horseMackerel",0.113964936943541,0.105296273777825,0,0.133999414847532
"mackerel",1.02036868530106,0.34194122627683,0,0.647799220680091
"herring",0,1.15664855377556,0,0.871638882579925
"sardine",0,0.409349506388812,0,0.453556173003157
"squids",0.455028405567263,0,0,0.206581579680008
"cuttlefish",0.291190964408971,0,0,0.160207538457473
"thornbackRay",0.100411433928191,0,0,0.0846555818334223
