"","x"
"1",76.4680473039509
"2",80.8380911482357
"3",84.909552171762
"4",88.6295605792673
"5",91.9515981077235
"6",94.8365401175654
"7",97.2534350791033
"8",99.1800040565942
"9",100.602856280893
"10",101.517429598138
"11",101.927675820333
"12",101.845520278198
"13",101.290131860097
"14",100.287044366411
"15",98.8671721383132
"16",97.0657627999032
"17",94.9213278642262
"18",92.4745882567641
"19",89.767466908957
"20",86.8421548845594
"21",83.7402714214861
"22",80.5021321600437
"23",77.166133988597
"24",73.7682596087961
"25",70.3417004352888
"26",66.9179961013711
"27",63.5297764944822
"28",60.2060883995164
"29",56.9713524730485
"30",53.8455762342923
"31",50.8446496378729
"32",47.9806987587806
"33",45.2624758388545
"34",42.6957670649651
"35",40.283802723284
"36",38.0276576052844
"37",35.926632584529
"38",33.9786110415109
"39",32.1803862307862
"40",30.5279577386075
"41",29.0167968752959
"42",27.6420822097321
"43",26.39890752257
"44",25.2824652780181
"45",24.28820934447
"46",23.4120011877864
"47",22.6502441749341
"48",22.0000110184905
"49",21.459167879166
"50",21.0239773135277
"51",20.6845314885294
"52",20.4311768183095
"53",20.2556432022895
"54",20.1507740868536
"55",20.1102998845153
"56",20.128645629332
"57",20.2007657793275
"58",20.3220006852112
"59",20.4879505366846
"60",20.6943636530034
"61",20.937036862701
"62",21.2117264622283
"63",21.5140688861249
"64",21.8395107835982
"65",22.1832486911479
"66",22.5401789241429
"67",22.9048586819269
"68",23.271479665656
"69",23.6338557357102
"70",23.9854262726072
"71",24.3192769358088
"72",24.6281794214189
"73",24.9046558687545
"74",25.142987335817
"75",25.3424482525171
"76",25.5033056256947
"77",25.6260372377292
"78",25.7113189566345
"79",25.7600107371141
"80",25.7731415701173
"81",25.7518936357756
"82",25.6975859077241
"83",25.6116574462317
"84",25.4956506038166
"85",25.3511943506845
"86",25.17998790894
"87",24.9837848646583
"88",24.7643779060744
"89",24.5235843148471
"90",24.2632323160385
"91",23.9851483715033
"92",23.6911454811715
"93",23.3830125375062
"94",23.0625047604863
"95",22.7313352239655
"96",22.3911674693485
"97",22.0436162849683
"98",21.6917151022012
"99",21.3415835598394
"100",20.9993955150488
"101",20.6709316416573
"102",20.3616100489067
"103",20.0765318084295
"104",19.8205398545382
"105",19.5982901238621
"106",19.4143342917379
"107",19.2732140385382
"108",19.1795674412191
"109",19.1382488449697
"110",19.1544644489
"111",19.2339268731043
"112",19.3830332129052
"113",19.6090726003649
"114",19.9204711799984
"115",20.3270847962619
"116",20.8405527625565
"117",21.4747300765009
"118",22.2462206931811
"119",23.1750414182471
"120",24.2854552586881
"121",25.6069551340564
"122",27.166621187368
"123",28.9786901767425
"124",31.0566437072741
"125",33.4141283239428
"126",36.0639096261427
"127",39.0166281420233
"128",42.2793329308218
"129",45.8537846753489
"130",49.734541857199
"131",53.9068723376724
"132",58.3445684639044
"133",63.0077857967916
"134",67.8410714004698
"135",72.7717932687173
"136",77.7092218779196
"137",82.5445401893873
"138",87.1520604741127
"139",91.3918955814111
"140",95.1142604730688
"141",98.1654621056874
"142",100.39547286912
"143",101.666783447854
"144",101.864013118193
"145",100.904330732068
"146",98.8047760821336
"147",95.7193441826233
"148",91.8316860821707
"149",87.3320980358776
"150",82.4064383505937
