"","x"
"1",17.5989871124716
"2",17.4703766639047
"3",17.3119573056304
"4",17.1258143474558
"5",16.9141155647212
"6",16.6790843411694
"7",16.4229742661231
"8",16.1480454558413
"9",15.8565428094022
"10",15.5506763519291
"11",15.2326037636325
"12",14.90441514297
"13",14.568120006917
"14",14.2256364914009
"15",13.87878268065
"16",13.5292699656218
"17",13.1786983087307
"18",12.8285532745703
"19",12.4802046738872
"20",12.1349066603022
"21",11.793799115713
"22",11.4579101604455
"23",11.1281596275203
"24",10.8053633463472
"25",10.490238127238
"26",10.183748633002
"27",9.88787369077044
"28",9.6045808108909
"29",9.33558498773312
"30",9.08237913665467
"31",8.84626687179803
"32",8.62839696130596
"33",8.42979899702265
"34",8.25142001719504
"35",8.09416202196964
"36",7.95892052370349
"37",7.84662448059882
"38",7.75827817851552
"39",7.6950058600317
"40",7.65810016269144
"41",7.6490757340042
"42",7.66972975741639
"43",7.72221157485653
"44",7.80910415844865
"45",7.93352090716807
"46",8.09922217733481
"47",8.31075717070562
"48",8.57363839720241
"49",8.894556743461
"50",9.27986863136339
"51",9.73180540097888
"52",10.2520072272021
"53",10.8422176445053
"54",11.5040536406392
"55",12.2387500388092
"56",13.0468735040644
"57",13.9280041767297
"58",14.8803862699052
"59",15.9005530981129
"60",16.9829369777369
"61",18.1194801910963
"62",19.2992695188563
"63",20.5082233193928
"64",21.7288661584488
"65",22.9402307435306
"66",24.1179293836069
"67",25.234436248185
"68",26.2596162193134
"69",27.1615251761853
"70",27.9074895882947
"71",28.4654504286447
"72",28.8055286349534
"73",28.9017584554961
"74",28.7426173599411
"75",28.3456602096224
"76",27.7372742303482
"77",26.9473862084819
"78",26.0078168900215
"79",24.9507876171331
"80",23.8076457352498
"81",22.6078465976064
"82",21.3782041905205
"83",20.1424012820507
"84",18.9207344056343
"85",17.7300589901383
"86",16.5838950202948
"87",15.4926528782432
"88",14.4639414376188
"89",13.5029250126334
"90",12.6127014691723
"91",11.7946799173714
"92",11.0489423556204
"93",10.3745790465883
"94",9.76999206808178
"95",9.2331653242038
"96",8.76190235764302
"97",8.35402850086286
"98",8.00612757823222
"99",7.71224617209643
"100",7.46706656420094
"101",7.26622534179474
"102",7.10618222626341
"103",6.98411520854192
"104",6.89783759049179
"105",6.84573349632341
"106",6.82670919813014
"107",6.84015823832182
"108",6.8859388635753
"109",6.96436273729466
"110",7.0761942927789
"111",7.22266044586369
"112",7.40547071962731
"113",7.62684815898137
"114",7.88957174277899
"115",8.19703134833549
"116",8.55329670115132
"117",8.96320216526039
"118",9.43244971265707
"119",9.96773297157814
"120",10.5768859139373
"121",11.2690487947676
"122",12.0533700844998
"123",12.9371627529073
"124",13.9278547584355
"125",15.0331285906176
"126",16.2607206718929
"127",17.6181701235687
"128",19.1125097559802
"129",20.7498934281001
"130",22.5351560082156
"131",24.471305232109
"132",26.5589489506764
"133",28.7956666853119
"134",31.17534108144
"135",33.6874726589518
"136",36.3165099292164
"137",39.0412360064851
"138",41.8342615834873
"139",44.6616816281949
