"","x"
"1",4.30197003512623
"2",4.17247021044999
"3",4.06528241560754
"4",3.97833280890484
"5",3.90990058062086
"6",3.85856509042582
"7",3.82316252364753
"8",3.80275024758555
"9",3.79657741186406
"10",3.80406062086807
"11",3.8247637292061
"12",3.85838098633151
"13",3.90472289425674
"14",3.96370425067285
"15",4.03533393490899
"16",4.11970606083962
"17",4.21699217284171
"18",4.32743420120157
"19",4.45133792435879
"20",4.58906670898886
"21",4.74103531677187
"22",4.90770358013142
"23",5.08956975944358
"24",5.28716340228268
"25",5.5010375171887
"26",5.7316152871938
"27",5.97878034260691
"28",6.24217257655895
"29",6.52125256164501
"30",6.8152660230311
"31",7.12320782787069
"32",7.44378630999093
"33",7.77538899001711
"34",8.11605099818859
"35",8.46342774897475
"36",8.81477363866861
"37",9.1669287214652
"38",9.51631544516003
"39",9.85894757130837
"40",10.1904533422018
"41",10.5061147647229
"42",10.800924538226
"43",11.069661644669
"44",11.3069859371758
"45",11.5075512121754
"46",11.6661352483445
"47",11.7777841770203
"48",11.8379673650882
"49",11.8427391026788
"50",11.7906032098146
"51",11.6859178639315
"52",11.5345646323898
"53",11.3427872378362
"54",11.1169895104565
"55",10.8635574721207
"56",10.5887093253852
"57",10.298375093827
"58",9.99810593447751
"59",9.69301177002494
"60",9.38772488257132
"61",9.08638645728897
"62",8.79265272778101
"63",8.50971730719994
"64",8.24034643674146
"65",7.98692419299059
"66",7.75150511950396
"67",7.53587224537879
"68",7.34159899315245
"69",7.17011403909262
"70",7.02276875997958
"71",6.90090748127476
"72",6.80594134170722
"73",6.73942425929429
"74",6.70182311116344
"75",6.69055192680944
"76",6.70282966365423
"77",6.73612448040489
"78",6.78806731769078
"79",6.85637754413857
"80",6.93879865082981
"81",7.03304273947754
"82",7.13674318560733
"83",7.24741539364914
"84",7.36242600977428
"85",7.47897132396002
"86",7.59406587015732
"87",7.70454241094352
"88",7.80706455426394
"89",7.89815317588434
"90",7.97422759327789
"91",8.03166203959256
"92",8.06685741197725
"93",8.07632751987554
"94",8.05679815387028
"95",8.00531627046762
"96",7.91936549938501
"97",7.79699316400584
"98",7.63900106668868
"99",7.45128960549853
"100",7.24036458299931
"101",7.01248929209565
"102",6.77353586683157
"103",6.52888126533959
"104",6.28334465857749
"105",6.04116134832667
"106",5.80598744295719
"107",5.58092926545162
"108",5.3685917184129
"109",5.1711404467243
"110",4.99037349478176
"111",4.82779914898946
"112",4.6847177122373
"113",4.5623060292246
"114",4.46170465238909
"115",4.38410861826423
"116",4.3308639311685
"117",4.30357309195943
"118",4.3042144643161
"119",4.33528208239135
"120",4.39995487295495
"121",4.50229182757793
"122",4.64556034531384
"123",4.83026920794255
"124",5.05710874664323
"125",5.32721145374959
"126",5.64200186464363
"127",6.00303840907292
"128",6.41183866627071
"129",6.86968111349901
"130",7.37737835853549
"131",7.93501925814738
"132",8.54168047256289
"133",9.19511205771327
"134",9.89140672821413
"135",10.6246683739159
"136",11.3867020329465
"137",12.1667543290539
"138",12.9513396134536
"139",13.7241916783427
"140",14.466382668125
"141",15.1566483261937
"142",15.7719506765222
"143",16.2882946914826
"144",16.6817941495977
"145",16.9300563491022
"146",17.0214430208393
"147",16.9618537004608
"148",16.7625105417693
"149",16.4377918091186
"150",16.0042893774987
"151",15.4798828806574
"152",14.8828857723422
"153",14.2313033718317
"154",13.5422274096572
"155",12.8313772358999
"156",12.1127857707351
"157",11.3986190390772
"158",10.699111880029
"159",10.0225989661501
"160",9.37561919527431
"161",8.76307230204034
"162",8.188408624445
"163",7.65383583808049
"164",7.16052970196632
"165",6.70883910828704
"166",6.29847875858002
"167",5.92870545857216
"168",5.59847626854754
