"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.325166797957404,0,0.242405221803721,0.178331137021947
"redMullet",0.277781386490029,0,0,0.130009538184967
"pouting ",0.391371324667081,0,0,0.215381707332888
"whiting",0.869582612091934,0,0,0.353119299942964
"poorCod",0,0,0,0
"cod",0.164391474774763,0,0.212203977997211,0.131845190095631
"dragonet",0,0,0,0
"sole",0.203896977044553,0,1.32990550288342,0.275589706483385
"plaice",0.362492716824809,0,0.389448297264628,0.225082864911033
"horseMackerel",0.107379942791619,0.116537603672656,0,0.108429051657427
"mackerel",1.04858619296979,0.341457814651976,0,0.543514631559478
"herring",0,0.960573384155366,0,0.826237215743792
"sardine",0,0.362365737761451,0,0.465738356975392
"squids",0.541349313209858,0,0,0.217145921610864
"cuttlefish",0.345829475063307,0,0,0.108793574399524
"thornbackRay",0.0886442456932966,0,0,0.0840801384926284
