"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.335676731804006,0,0.207307782281313,0.193181002020246
"redMullet",0.270053145907307,0,0,0.129166366790303
"pouting ",0.43778355102914,0,0,0.206723911191489
"whiting",1.11612784571255,0,0,0.504734380840899
"poorCod",0,0,0,0
"cod",0.211139171938201,0,0.25225579334678,0.161097237192282
"dragonet",0,0,0,0
"sole",0.224988763558904,0,1.16186072005601,0.236742760502893
"plaice",0.474173031450517,0,0.403730185096582,0.250881706634683
"horseMackerel",0.106044066448167,0.101744663122946,0,0.137713504940944
"mackerel",0.988563187415327,0.321934100754246,0,0.621913812921763
"herring",0,1.2772615084118,0,0.98338193696983
"sardine",0,0.395572735939171,0,0.47299408855181
"squids",0.475716631923834,0,0,0.180075144133152
"cuttlefish",0.290707646853584,0,0,0.143254224726204
"thornbackRay",0.115762899381673,0,0,0.0828189124528205
