"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.402903658809059,0,0.212370010262089,0.206263845700418
"redMullet",0.28051235837636,0,0,0.131442837150567
"pouting ",0.425420560159274,0,0,0.18588936018908
"whiting",1.13271387488671,0,0,0.48560224337733
"poorCod",0,0,0,0
"cod",0.229770026555386,0,0.274116386122548,0.153902956347706
"dragonet",0,0,0,0
"sole",0.213359074982041,0,1.04877771287041,0.235344758855809
"plaice",0.477119701905669,0,0.411782432429908,0.26669950223786
"horseMackerel",0.103833065029488,0.0967875567891449,0,0.118842329147061
"mackerel",1.01659142259826,0.316093690763141,0,0.632433195556889
"herring",0,1.14956049160263,0,0.901309102045988
"sardine",0,0.402661872738907,0,0.488472811185958
"squids",0.493591742743152,0,0,0.205290845247337
"cuttlefish",0.293541425345629,0,0,0.158816055302293
"thornbackRay",0.103296139254934,0,0,0.0864019727662932
