"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.376964394003049,0,0.246487578858793,0.163852973287972
"redMullet",0.254382126762389,0,0,0.121392316770092
"pouting ",0.453558581817869,0,0,0.231942564873677
"whiting",0.796217418674412,0,0,0.49657694855517
"poorCod",0,0,0,0
"cod",0.203201955083412,0,0.239087165041769,0.130182873094618
"dragonet",0,0,0,0
"sole",0.186795735371595,0,1.14642646552228,0.238497362274314
"plaice",0.382230914191764,0,0.363276045727353,0.216758354896427
"horseMackerel",0.104440304894241,0.121682808952891,0,0.116087623585866
"mackerel",0.930606281936138,0.364737062827105,0,0.593512080599534
"herring",0,1.099554164426,0,0.856127296490537
"sardine",0,0.348381635676469,0,0.530858859495559
"squids",0.553808673634406,0,0,0.227502499562811
"cuttlefish",0.328019503457396,0,0,0.108915681261486
"thornbackRay",0.078361992384298,0,0,0.0826912436459705
