"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.419449349990914,0,0.17966000328592,0.204984757049506
"redMullet",0.253957372320228,0,0,0.127885245401183
"pouting ",0.432889462985452,0,0,0.213523676670797
"whiting",1.00536726708685,0,0,0.493042151113262
"poorCod",0,0,0,0
"cod",0.246055727075099,0,0.266161182352541,0.155271683000053
"dragonet",0,0,0,0
"sole",0.195860018658507,0,1.03237473986802,0.232354369853691
"plaice",0.46353854987878,0,0.44492381622656,0.218604916017566
"horseMackerel",0.104634100395646,0.0950408632800921,0,0.130957421088267
"mackerel",1.06404346845343,0.328300981470376,0,0.691729315475475
"herring",0,1.12682047535983,0,0.913824161256166
"sardine",0,0.404422791632607,0,0.432622618735568
"squids",0.473725765176764,0,0,0.183148400965894
"cuttlefish",0.321101674448076,0,0,0.139683943484429
"thornbackRay",0.111662178341679,0,0,0.0745122297573888
