"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.404653077464924,0,0.237650357553325,0.164723583060671
"redMullet",0.282930195326912,0,0,0.110923983943756
"pouting ",0.424482020205738,0,0,0.20971235301391
"whiting",0.79927972474172,0,0,0.438632442144846
"poorCod",0,0,0,0
"cod",0.202700583163596,0,0.206974591260868,0.160038836168685
"dragonet",0,0,0,0
"sole",0.200162594187589,0,1.22976158729462,0.300674795314914
"plaice",0.404320826838447,0,0.415135884523048,0.224888135325407
"horseMackerel",0.116580573353857,0.108094919833832,0,0.117448101565647
"mackerel",1.06429064185323,0.382234573565744,0,0.635838584468135
"herring",0,0.809890452473864,0,0.875714404262303
"sardine",0,0.415438234184263,0,0.492591519084068
"squids",0.447916131328922,0,0,0.2095796632178
"cuttlefish",0.291595990456706,0,0,0.119253052079731
"thornbackRay",0.0832933763332153,0,0,0.096648379220903
