"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.339225308804046,0,0.231533806982277,0.195436539972412
"redMullet",0.255573240911025,0,0,0.126154517610958
"pouting ",0.484736202425088,0,0,0.212207403641482
"whiting",1.04732630035849,0,0,0.508489411731958
"poorCod",0,0,0,0
"cod",0.237585982545759,0,0.271990797750066,0.138924113293659
"dragonet",0,0,0,0
"sole",0.243865639447262,0,1.10347123496656,0.279306628902281
"plaice",0.453580228053372,0,0.387891585192408,0.241132508313469
"horseMackerel",0.105500582241441,0.0997826357600021,0,0.138718270762356
"mackerel",1.13914293870211,0.292820246307348,0,0.61158568405308
"herring",0,1.14090274418834,0,0.935040157298849
"sardine",0,0.401508831694923,0,0.502624124581259
"squids",0.491937579569554,0,0,0.198030356802396
"cuttlefish",0.294308013107844,0,0,0.148768430472388
"thornbackRay",0.115517864939502,0,0,0.0785672986686197
