"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.392542461619892,0,0.223724903831251,0.202491045292577
"redMullet",0.26897403381735,0,0,0.133068191822472
"pouting ",0.407460396148626,0,0,0.211271531898474
"whiting",0.941237043396228,0,0,0.52857553392623
"poorCod",0,0,0,0
"cod",0.251526860121775,0,0.267510570096013,0.146635422097181
"dragonet",0,0,0,0
"sole",0.232517462239431,0,1.16974171887581,0.254626655797447
"plaice",0.510465912357233,0,0.422279157029385,0.233189849666271
"horseMackerel",0.102385759127929,0.10730642651909,0,0.134201449739293
"mackerel",0.894922728736471,0.318485590526355,0,0.637047742081157
"herring",0,1.09162148500101,0,0.950208399347116
"sardine",0,0.422125068530497,0,0.477949580504739
"squids",0.456319357182093,0,0,0.197644253847145
"cuttlefish",0.353346916754469,0,0,0.153070598477229
"thornbackRay",0.104385857660831,0,0,0.0809509933413085
