"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.391068586422577,0,0.209224236513485,0.193206120702241
"redMullet",0.279745296049648,0,0,0.124333991644032
"pouting ",0.430491025773756,0,0,0.195186642813417
"whiting",1.0046532676542,0,0,0.534040553719423
"poorCod",0,0,0,0
"cod",0.238766077583262,0,0.256468049458461,0.161425541062037
"dragonet",0,0,0,0
"sole",0.226908329296876,0,1.11895620077902,0.260335300191308
"plaice",0.518308725654136,0,0.44688929792779,0.268186912768608
"horseMackerel",0.104785415142293,0.101235446322614,0,0.117858531778256
"mackerel",1.12972928195574,0.282977207377631,0,0.627090954153763
"herring",0,1.03742946584329,0,0.958866304785885
"sardine",0,0.369681399736927,0,0.402579995042486
"squids",0.493986771481761,0,0,0.20404223129659
"cuttlefish",0.301184275873624,0,0,0.143675284211722
"thornbackRay",0.102978374215174,0,0,0.0746666172569408
