"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.373273498149973,0,0.215425142667778,0.19773991051761
"redMullet",0.245837430098447,0,0,0.127262896606262
"pouting ",0.412601006803803,0,0,0.203879129156268
"whiting",1.05753472633096,0,0,0.495885572866902
"poorCod",0,0,0,0
"cod",0.226178788280628,0,0.266184950622484,0.154957073968366
"dragonet",0,0,0,0
"sole",0.21105311500538,0,1.06221232289821,0.261805948552178
"plaice",0.473594044085225,0,0.437789598744546,0.254024050069638
"horseMackerel",0.121233203759846,0.113429509681995,0,0.130123553131661
"mackerel",0.981176331944603,0.298041589131211,0,0.645464134987934
"herring",0,1.07384731376967,0,0.903525509675473
"sardine",0,0.328613817066921,0,0.454313586948571
"squids",0.493438367083359,0,0,0.177333890238902
"cuttlefish",0.318396597409963,0,0,0.152121229578269
"thornbackRay",0.107456714797744,0,0,0.0844810154026414
